episode,score,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
199,206213.0112,0.18,-0.13,128.03,0.12,-0.1,28.18
200,206255.7733,0.22,0.03,128.03,0.17,0.03,28.18
201,206311.2991,0.01,0.15,128.03,0.01,0.11,28.18
202,206238.7455,0.17,0.04,128.03,0.12,0.05,28.18
203,206294.5223,0.04,-0.15,128.03,0.03,-0.12,28.18
204,206143.2564,-0.28,-0.02,128.03,-0.17,-0.01,28.18
205,206326.8135,-0.05,-0.04,128.03,-0.05,-0.03,28.18
206,206304.0423,0.05,0.02,128.03,0.02,0.02,28.18
207,206205.5954,0.05,0.19,128.03,0.02,0.1,28.18
208,206325.0133,-0.03,-0.03,128.03,-0.02,-0.03,28.18
209,206134.4707,-0.13,0.28,128.03,-0.08,0.16,28.18
210,206123.7137,0.21,0.34,128.03,0.14,0.27,28.18
211,206242.8320,0.12,-0.17,128.03,0.12,-0.12,28.18
212,206251.5785,0.14,0.04,128.03,0.09,0.02,28.18
213,206181.7275,0.17,0.03,128.03,0.11,0.01,28.18
214,206250.4126,-0.06,0.16,128.03,-0.04,0.12,28.18
215,206138.7764,-0.17,0.28,128.03,-0.12,0.19,28.18
216,206243.5271,-0.06,-0.13,128.03,-0.03,-0.08,28.18
217,206261.3808,0.04,-0.3,128.03,0.03,-0.23,28.18
218,206233.9491,0.1,-0.26,128.03,0.07,-0.2,28.18
219,206170.9931,0.15,0.14,128.03,0.09,0.06,28.18
220,206280.6526,-0.14,0.07,128.03,-0.13,0.03,28.18
221,206180.7425,-0.15,-0.26,128.03,-0.1,-0.18,28.18
222,206310.7388,0.14,-0.04,128.03,0.11,-0.02,28.18
223,206324.1742,-0.1,0.06,128.03,-0.09,0.06,28.18
224,206253.5834,-0.1,-0.22,128.03,-0.08,-0.17,28.18
225,206326.0557,-0.05,-0.03,128.03,-0.03,-0.0,28.18
226,206266.9125,0.1,0.02,128.03,0.03,0.0,28.18
227,206285.2393,-0.1,-0.06,128.03,-0.07,-0.04,28.18
228,206289.1553,0.22,0.03,128.03,0.19,0.05,28.18
229,206226.0665,-0.05,0.18,128.03,-0.04,0.11,28.18
230,206247.5016,0.09,0.03,128.03,0.03,0.02,28.18
231,206292.8324,0.06,0.03,128.03,0.02,0.04,28.18
232,206268.3431,-0.04,0.1,128.03,-0.04,0.08,28.18
233,206181.5692,-0.26,0.04,128.03,-0.19,0.02,28.18
234,206286.9787,-0.15,0.0,128.03,-0.13,-0.01,28.18
235,206258.1517,-0.07,0.03,128.03,-0.02,0.05,28.18
